VP	Trial	Wort
47	1	Rabe
47	2	Onkel
47	3	Fliege
47	4	Leiter
47	5	Dreieck
47	6	Karte
47	7	Pilot
47	8	Nudel
47	9	Zange
47	10	Fahrer
47	11	Tiger
47	12	Wecker	
47	13	Sportler
47	14	Igel
47	15	Eimer
47	16	Kirche
47	17	Jacke
47	18	Tasche
47	19	Affe
47	20	Auto
47	1	Rabe
47	2	Onkel
47	3	Fliege
47	4	Leiter
47	5	Dreieck
47	6	Karte
47	7	Pilot
47	8	Nudel
47	9	Zange
47	10	Fahrer
47	11	Tiger
47	12	Wecker	
47	13	Sportler
47	14	Igel
47	15	Eimer
47	16	Kirche
47	17	Jacke
47	18	Tasche
47	19	Affe
47	20	Auto
