VP	Trial	Wort
1	1	Sportler
1	2	Nudel
1	3	Onkel
1	4	Jacke
1	5	Fliege
1	6	Eimer
1	7	Wecker	
1	8	Fahrer
1	9	Zange
1	10	Kirche
1	11	Leiter
1	12	Pilot
1	13	Igel
1	14	Affe
1	15	Tasche
1	16	Dreieck
1	17	Tiger
1	18	Karte
1	19	Rabe
1	20	Auto
1	1	Sportler
1	2	Nudel
1	3	Onkel
1	4	Jacke
1	5	Fliege
1	6	Eimer
1	7	Wecker	
1	8	Fahrer
1	9	Zange
1	10	Kirche
1	11	Leiter
1	12	Pilot
1	13	Igel
1	14	Affe
1	15	Tasche
1	16	Dreieck
1	17	Tiger
1	18	Karte
1	19	Rabe
1	20	Auto
