VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
78	1	1	Onkel	2	2	2	3	2105	2
78	1	2	Nilpferd	1	1	1	1	2553	1
78	1	3	Faden	1	1	1	1	2303	1
78	1	4	Katze	1	1	1	1	1553	1
78	1	5	Hose 	1	99	99	99	99	0
78	1	6	Wecker	2	2	2	3	1283	1
78	1	7	Fliege	2	2	2	3	1586	1
78	1	8	Dreieck	2	1	1	2	1269	1
78	1	9	Paket	1	1	1	1	1585	1
78	1	10	Maler	1	1	1	1	1546	1
78	1	11	Eimer	2	2	2	3	1484	1
78	1	12	Tante	1	1	1	1	1859	1
78	1	13	Schnecke	1	1	1	1	3299	1
78	1	14	Tasche	2	2	2	3	3149	1
78	1	15	Flasche	1	1	1	1	3704	1
78	1	16	Affe	2	2	2	3	1550	1
78	1	17	Ampel	1	1	1	1	1930	1
78	1	18	Deckel	1	1	1	1	1859	1
78	1	19	Igel	2	2	2	3	1743	1
78	1	20	Rabe	2	2	2	3	2095	1
78	1	21	Nudel	2	2	2	3	3455	3
78	1	22	Leiter	2	1	1	2	2315	1
78	1	23	Ente	1	1	1	1	1889	1
78	1	24	Auto	2	2	2	3	1013	2
78	1	25	Fahrer	2	2	2	3	1735	2
78	1	26	Kirche	2	2	2	3	2719	1
78	1	27	Pilot	2	2	2	3	2700	1
78	1	28	Jacke	2	2	2	3	3502	1
78	1	29	Seife	1	1	1	1	1913	1
78	1	30	Sofa	1	1	1	1	2111	1
78	1	31	Tiger	2	1	1	2	3309	2
78	1	32	Zange	2	2	2	3	2812	1
78	1	33	Raupe	1	1	1	1	1856	1
78	1	34	Zeitung	1	1	1	1	2928	1
78	1	35	Sportler	2	2	2	3	2009	2
78	1	36	Geige	1	1	1	1	2419	2
78	1	37	Haifisch	1	99	99	99	99	0
78	1	38	Biene	1	1	1	1	1692	1
78	1	39	Adler	1	2	2	4	4630	1
78	1	40	Karte	2	2	2	3	2739	1
