VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
65	2	1	Pilot	2	1	1	3	1818	1
65	2	2	Katze	1	2	2	1	1365	1
65	2	3	Jacke	2	1	1	3	854	1
65	2	4	Ampel	1	2	2	1	979	1
65	2	5	Biene	1	2	2	1	950	1
65	2	6	Raupe	1	2	2	1	928	1
65	2	7	Tasche	2	1	1	3	1293	1
65	2	8	Fahrer	2	1	1	3	954	1
65	2	9	Leiter	2	1	1	3	1115	1
65	2	10	Karte	2	2	2	2	981	1
65	2	11	Paket	1	2	2	1	1189	1
65	2	12	Onkel	2	1	1	3	1744	1
65	2	13	Zange	2	1	1	3	1125	1
65	2	14	Nilpferd	1	2	2	1	1237	1
65	2	15	Affe	2	1	1	3	1552	1
65	2	16	Tante	1	2	2	1	1323	1
65	2	17	Eimer	2	1	1	3	962	1
65	2	18	Dreieck	2	1	1	3	1281	1
65	2	19	Auto	2	1	1	3	1567	1
65	2	20	Wecker	2	1	1	3	1508	1
65	2	21	Kirche	2	1	1	3	1032	1
65	2	22	Fliege	2	2	2	2	1129	1
65	2	23	Deckel	1	2	2	1	894	1
65	2	24	Sofa	1	2	2	1	1139	1
65	2	25	Schnecke	1	2	2	1	1346	1
65	2	26	Faden	1	2	2	1	913	1
65	2	27	Nudel	2	1	1	3	1118	1
65	2	28	Seife	1	2	2	1	933	1
65	2	29	Rabe	2	1	1	3	954	1
65	2	30	Tiger	2	1	1	3	1190	1
65	2	31	Flasche	1	2	2	1	785	1
65	2	32	Zeitung	1	2	2	1	1156	1
65	2	33	Igel	2	1	1	3	1280	1
65	2	34	Geige	1	2	2	1	1749	1
65	2	35	Adler	1	2	2	1	1128	1
65	2	36	Sportler	2	1	1	3	1553	1
65	2	37	Haifisch	1	2	2	1	781	1
65	2	38	Hose 	1	2	2	1	1005	1
65	2	39	Maler	1	2	2	1	2602	1
65	2	40	Ente	1	2	2	1	788	1
