VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
76	2	1	Wecker	2	2	2	2	3563	1
76	2	2	Eimer	2	1	1	3	3256	1
76	2	3	Nilpferd	1	99	99	99	99	0
76	2	4	Paket	1	2	2	1	4805	1
76	2	5	Fliege	2	2	1	3	3321	2
76	2	6	Zeitung	1	2	2	1	2889	1
76	2	7	Ente	1	2	2	1	2808	1
76	2	8	Tiger	2	1	1	3	2978	1
76	2	9	Onkel	2	2	1	3	3826	4
76	2	10	Karte	2	2	2	2	2602	2
76	2	11	Rabe	2	99	99	99	99	0
76	2	12	Auto	2	1	2	2	1098	2
76	2	13	Haifisch	1	2	2	1	4305	1
76	2	14	Leiter	2	1	1	3	2645	5
76	2	15	Nudel	2	2	2	2	2064	14
76	2	16	Deckel	1	2	2	1	3628	5
76	2	17	Maler	1	2	2	1	3293	3
76	2	18	Raupe	1	2	2	1	3697	2
76	2	19	Hose 	1	2	2	1	-10	4
76	2	20	Flasche	1	2	2	1	3115	2
76	2	21	Jacke	2	1	1	3	2727	2
76	2	22	Tasche	2	1	2	2	27	8
76	2	23	Geige	1	2	1	4	2633	7
76	2	24	Pilot	2	1	1	3	4347	1
76	2	25	Affe	2	2	2	2	2286	1
76	2	26	Adler	1	1	2	1	3681	2
76	2	27	Kirche	2	1	1	3	4144	1
76	2	28	Sportler	2	1	1	3	160	4
76	2	29	Katze	1	2	2	1	3178	1
76	2	30	Igel	2	1	1	3	1702	1
76	2	31	Schnecke	1	2	2	1	2788	1
76	2	32	Fahrer	2	1	1	3	3473	1
76	2	33	Zange	2	2	1	3	2834	2
76	2	34	Biene	1	1	1	4	4167	1
76	2	35	Faden	1	99	99	99	99	0
76	2	36	Tante	1	2	2	1	3478	7
76	2	37	Seife	1	2	1	4	2886	2
76	2	38	Sofa	1	1	2	1	3514	4
76	2	39	Dreieck	2	2	2	2	3373	1
76	2	40	Ampel	1	2	2	1	3513	1
