VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
74	2	1	Katze	1	2	2	1	2980	1
74	2	2	Zeitung	1	2	2	1	4473	1
74	2	3	Eimer	2	99	99	99	99	0
74	2	4	Flasche	1	2	2	1	243	1
74	2	5	Leiter	2	1	1	3	1688	1
74	2	6	Maler	1	2	2	1	3204	1
74	2	7	Biene	1	2	2	1	1911	1
74	2	8	Deckel	1	2	2	1	3659	1
74	2	9	Karte	2	1	1	3	2817	1
74	2	10	Sofa	1	2	2	1	3020	1
74	2	11	Fahrer	2	1	1	3	2830	1
74	2	12	Igel	2	1	1	3	2011	1
74	2	13	Affe	2	1	1	3	1688	1
74	2	14	Rabe	2	1	1	3	1748	1
74	2	15	Pilot	2	1	1	3	1584	1
74	2	16	Sportler	2	1	1	3	2466	1
74	2	17	Ente	1	2	2	1	4384	1
74	2	18	Tante	1	2	2	1	2293	3
74	2	19	Haifisch	1	2	2	1	2651	1
74	2	20	Dreieck	2	2	2	2	3957	1
74	2	21	Schnecke	1	2	2	1	3049	1
74	2	22	Geige	1	2	2	1	3235	1
74	2	23	Raupe	1	2	2	1	4163	1
74	2	24	Nudel	2	2	2	2	2515	1
74	2	25	Jacke	2	99	99	99	99	0
74	2	26	Kirche	2	1	1	3	2576	1
74	2	27	Paket	1	2	2	1	3055	1
74	2	28	Tasche	2	2	2	2	3463	1
74	2	29	Auto	2	1	1	3	1424	1
74	2	30	Fliege	2	2	2	2	2737	1
74	2	31	Nilpferd	1	2	2	1	2634	1
74	2	32	Ampel	1	99	99	99	99	0
74	2	33	Zange	2	1	1	3	1536	1
74	2	34	Seife	1	2	2	1	2691	1
74	2	35	Adler	1	1	1	4	2850	1
74	2	36	Tiger	2	2	2	2	1731	1
74	2	37	Onkel	2	1	1	3	1367	1
74	2	38	Wecker	2	2	1	3	1943	3
74	2	39	Hose 	1	2	2	1	1180	1
74	2	40	Faden	1	2	2	1	2626	1
