VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
49	2	1	Deckel	1	2	2	1	1803	1
49	2	2	Jacke	2	1	1	3	1102	1
49	2	3	Zeitung	1	2	2	1	4559	1
49	2	4	Hose 	1	1	1	4	2314	1
49	2	5	Leiter	2	1	1	3	1452	1
49	2	6	Haifisch	1	2	2	1	1940	1
49	2	7	Affe	2	1	1	3	1121	1
49	2	8	Onkel	2	1	1	3	928	1
49	2	9	Pilot	2	1	1	3	1095	1
49	2	10	Adler	1	2	2	1	4444	1
49	2	11	Geige	1	2	2	1	2341	1
49	2	12	Rabe	2	1	1	3	1357	1
49	2	13	Raupe	1	2	2	1	1648	1
49	2	14	Nilpferd	1	2	2	1	1279	3
49	2	15	Auto	2	1	1	3	1519	1
49	2	16	Katze	1	2	2	1	1705	1
49	2	17	Ente	1	2	2	1	2063	1
49	2	18	Fliege	2	1	1	3	1231	1
49	2	19	Flasche	1	1	1	4	2035	1
49	2	20	Tasche	2	1	1	3	1587	1
49	2	21	Biene	1	2	2	1	1290	1
49	2	22	Nudel	2	1	1	3	2122	1
49	2	23	Maler	1	2	2	1	1730	2
49	2	24	Kirche	2	1	1	3	2708	6
49	2	25	Igel	2	1	1	3	849	1
49	2	26	Sportler	2	1	1	3	1050	2
49	2	27	Faden	1	2	2	1	1295	1
49	2	28	Seife	1	2	2	1	1370	1
49	2	29	Wecker	2	1	1	3	1715	1
49	2	30	Karte	2	1	1	3	1401	1
49	2	31	Tiger	2	1	1	3	991	1
49	2	32	Tante	1	2	2	1	1520	1
49	2	33	Paket	1	2	2	1	1213	1
49	2	34	Zange	2	1	1	3	951	8
49	2	35	Eimer	2	1	1	3	1405	1
49	2	36	Fahrer	2	1	1	3	1230	1
49	2	37	Sofa	1	2	2	1	1801	1
49	2	38	Dreieck	2	1	1	3	2801	3
49	2	39	Ampel	1	2	2	1	1331	2
49	2	40	Schnecke	1	2	2	1	936	2
