VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
1	1	1	Biene	1	1	1	1	1388	1
1	1	2	Igel	2	2	2	3	916	1
1	1	3	Ampel	1	2	2	4	1878	1
1	1	4	Schnecke	1	2	2	4	2494	1
1	1	5	Sportler	2	2	2	3	1357	1
1	1	6	Geige	1	1	1	1	2206	1
1	1	7	Hose 	1	2	2	4	2670	1
1	1	8	Nilpferd	1	1	1	1	2067	1
1	1	9	Tiger	2	2	2	3	1465	1
1	1	10	Karte	2	2	2	3	1110	1
1	1	11	Wecker	2	1	1	2	1441	1
1	1	12	Katze	1	1	1	1	2220	1
1	1	13	Seife	1	1	1	1	1525	1
1	1	14	Sofa	1	1	1	1	1957	1
1	1	15	Ente	1	2	2	4	2449	1
1	1	16	Kirche	2	2	2	3	2703	1
1	1	17	Pilot	2	1	1	2	3078	1
1	1	18	Jacke	2	1	1	2	2616	1
1	1	19	Nudel	2	2	2	3	1754	1
1	1	20	Faden	1	1	1	1	2034	1
1	1	21	Onkel	2	2	2	3	2223	1
1	1	22	Eimer	2	2	2	3	1925	1
1	1	23	Zeitung	1	1	1	1	1667	1
1	1	24	Deckel	1	1	1	1	2567	1
1	1	25	Fliege	2	1	1	2	1495	1
1	1	26	Tante	1	2	2	4	3600	1
1	1	27	Fahrer	2	1	1	2	2549	1
1	1	28	Tasche	2	1	1	2	2556	1
1	1	29	Flasche	1	2	2	4	3640	1
1	1	30	Zange	2	2	2	3	1706	1
1	1	31	Haifisch	1	1	1	1	1896	1
1	1	32	Affe	2	2	2	3	1714	1
1	1	33	Maler	1	1	1	1	2139	1
1	1	34	Auto	2	1	1	2	1894	1
1	1	35	Adler	1	2	2	4	2126	1
1	1	36	Raupe	1	1	1	1	2223	1
1	1	37	Dreieck	2	2	2	3	1595	1
1	1	38	Leiter	2	1	1	2	2161	1
1	1	39	Paket	1	1	1	1	2469	1
1	1	40	Rabe	2	1	1	2	3570	1
