VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
21	1	1	Igel	2	1	1	2	1963	1
21	1	2	Ente	1	1	1	1	1364	1
21	1	3	Eimer	2	2	2	3	1847	1
21	1	4	Maler	1	1	1	1	1113	1
21	1	5	Rabe	2	1	1	2	868	1
21	1	6	Sportler	2	2	2	3	1575	1
21	1	7	Pilot	2	2	2	3	924	1
21	1	8	Tiger	2	2	2	3	899	1
21	1	9	Ampel	1	2	2	4	2054	1
21	1	10	Adler	1	1	1	1	1127	1
21	1	11	Sofa	1	1	1	1	1257	1
21	1	12	Kirche	2	2	2	3	2027	1
21	1	13	Paket	1	1	1	1	989	1
21	1	14	Auto	2	2	2	3	1187	1
21	1	15	Seife	1	1	1	1	1068	1
21	1	16	Biene	1	1	1	1	1043	1
21	1	17	Karte	2	2	2	3	1377	1
21	1	18	Nilpferd	1	1	1	1	1242	1
21	1	19	Katze	1	1	1	1	1141	1
21	1	20	Onkel	2	2	2	3	976	1
21	1	21	Raupe	1	1	1	1	987	1
21	1	22	Faden	1	1	1	1	879	1
21	1	23	Haifisch	1	1	1	1	1221	1
21	1	24	Dreieck	2	2	2	3	994	1
21	1	25	Deckel	1	1	1	1	942	1
21	1	26	Fliege	2	1	1	2	810	1
21	1	27	Tasche	2	2	2	3	1233	1
21	1	28	Fahrer	2	2	2	3	1265	1
21	1	29	Hose 	1	1	1	1	1590	1
21	1	30	Zange	2	1	1	2	1930	1
21	1	31	Wecker	2	1	1	2	1542	1
21	1	32	Tante	1	1	1	1	1015	1
21	1	33	Jacke	2	2	2	3	1088	1
21	1	34	Nudel	2	1	1	2	1508	1
21	1	35	Schnecke	1	1	1	1	1617	1
21	1	36	Affe	2	2	2	3	962	1
21	1	37	Leiter	2	1	2	3	926	2
21	1	38	Geige	1	1	1	1	961	1
21	1	39	Flasche	1	1	1	1	1469	1
21	1	40	Zeitung	1	1	1	1	991	1
