VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
45	2	1	Auto	2	2	1	3	933	3
45	2	2	Kirche	2	1	1	3	1333	1
45	2	3	Geige	1	2	2	1	972	1
45	2	4	Pilot	2	1	1	3	993	1
45	2	5	Fahrer	2	1	1	3	724	1
45	2	6	Ente	1	2	2	1	1196	1
45	2	7	Sofa	1	2	2	1	1152	1
45	2	8	Dreieck	2	1	1	3	1321	1
45	2	9	Ampel	1	2	2	1	1020	1
45	2	10	Sportler	2	1	1	3	1372	1
45	2	11	Rabe	2	1	1	3	734	1
45	2	12	Eimer	2	1	1	3	1252	1
45	2	13	Leiter	2	1	1	3	675	1
45	2	14	Flasche	1	2	2	1	1058	1
45	2	15	Seife	1	2	2	1	1479	1
45	2	16	Biene	1	2	2	1	821	1
45	2	17	Katze	1	2	2	1	890	1
45	2	18	Maler	1	2	2	1	848	1
45	2	19	Raupe	1	2	2	1	1036	1
45	2	20	Tasche	2	1	1	3	758	1
45	2	21	Zange	2	1	1	3	2107	1
45	2	22	Tiger	2	1	1	3	691	1
45	2	23	Schnecke	1	2	2	1	854	1
45	2	24	Nilpferd	1	2	2	1	809	4
45	2	25	Tante	1	2	2	1	1544	1
45	2	26	Wecker	2	1	1	3	742	1
45	2	27	Adler	1	2	2	1	1146	1
45	2	28	Haifisch	1	2	2	1	1154	1
45	2	29	Faden	1	2	2	1	1294	1
45	2	30	Jacke	2	1	1	3	1291	1
45	2	31	Paket	1	2	2	1	935	1
45	2	32	Karte	2	1	1	3	1421	1
45	2	33	Hose 	1	2	2	1	936	1
45	2	34	Deckel	1	2	2	1	2113	1
45	2	35	Zeitung	1	1	1	4	1494	1
45	2	36	Igel	2	1	1	3	1002	1
45	2	37	Fliege	2	1	1	3	1165	1
45	2	38	Onkel	2	1	1	3	777	1
45	2	39	Nudel	2	1	1	3	852	1
45	2	40	Affe	2	1	1	3	742	1
