VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
46	1	1	Eimer	2	2	2	3	1475	2
46	1	2	Nilpferd	1	1	1	1	3489	1
46	1	3	Paket	1	1	1	1	3791	1
46	1	4	Haifisch	1	1	1	1	1487	1
46	1	5	Wecker	2	2	2	3	1385	1
46	1	6	Katze	1	1	1	1	1330	1
46	1	7	Tasche	2	2	2	3	1534	1
46	1	8	Jacke	2	2	2	3	1242	1
46	1	9	Maler	1	1	1	1	1526	1
46	1	10	Deckel	1	1	1	1	4191	1
46	1	11	Schnecke	1	1	1	1	1211	1
46	1	12	Auto	2	2	2	3	1317	4
46	1	13	Rabe	2	2	2	3	929	4
46	1	14	Onkel	2	2	2	3	3001	2
46	1	15	Sportler	2	2	2	3	3418	2
46	1	16	Biene	1	1	1	1	1763	2
46	1	17	Ente	1	1	1	1	1366	1
46	1	18	Adler	1	1	1	1	1131	1
46	1	19	Pilot	2	2	2	3	1138	1
46	1	20	Hose 	1	2	2	4	3131	1
46	1	21	Sofa	1	1	1	1	1027	3
46	1	22	Dreieck	2	2	2	3	1329	2
46	1	23	Kirche	2	2	2	3	1088	3
46	1	24	Fliege	2	1	1	2	1296	4
46	1	25	Tante	1	2	2	4	4111	1
46	1	26	Tiger	2	2	2	3	1093	2
46	1	27	Seife	1	2	2	4	1635	2
46	1	28	Karte	2	1	1	2	1415	2
46	1	29	Flasche	1	1	1	1	1184	3
46	1	30	Faden	1	1	1	1	1184	3
46	1	31	Affe	2	2	2	3	1204	2
46	1	32	Raupe	1	1	1	1	1629	2
46	1	33	Ampel	1	2	2	4	1297	2
46	1	34	Zeitung	1	1	1	1	1542	1
46	1	35	Igel	2	2	2	3	1594	2
46	1	36	Geige	1	1	1	1	1684	2
46	1	37	Fahrer	2	2	2	3	1739	2
46	1	38	Leiter	2	2	2	3	1856	2
46	1	39	Nudel	2	2	2	3	846	4
46	1	40	Zange	2	2	2	3	1710	2
