VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
28	2	1	Wecker	2	1	1	3	1081	1
28	2	2	Eimer	2	1	1	3	940	1
28	2	3	Onkel	2	1	1	3	1207	1
28	2	4	Biene	1	2	2	1	855	1
28	2	5	Raupe	1	2	2	1	967	1
28	2	6	Ampel	1	2	2	1	1791	1
28	2	7	Jacke	2	1	1	3	831	1
28	2	8	Auto	2	1	1	3	1067	1
28	2	9	Sofa	1	2	2	1	921	1
28	2	10	Kirche	2	1	1	3	870	1
28	2	11	Faden	1	2	2	1	964	1
28	2	12	Rabe	2	1	1	3	1221	1
28	2	13	Zange	2	1	1	3	1245	1
28	2	14	Adler	1	2	2	1	1126	1
28	2	15	Nilpferd	1	2	2	1	997	1
28	2	16	Nudel	2	1	1	3	788	1
28	2	17	Flasche	1	2	2	1	2621	1
28	2	18	Igel	2	1	1	3	735	1
28	2	19	Maler	1	2	2	1	956	1
28	2	20	Tante	1	2	2	1	851	1
28	2	21	Katze	1	2	2	1	1210	1
28	2	22	Hose 	1	2	2	1	1077	1
28	2	23	Fahrer	2	1	1	3	1127	1
28	2	24	Geige	1	2	2	1	1017	1
28	2	25	Pilot	2	1	1	3	950	1
28	2	26	Seife	1	2	2	1	1009	1
28	2	27	Fliege	2	2	2	2	3230	1
28	2	28	Tasche	2	1	1	3	1112	1
28	2	29	Tiger	2	1	1	3	1338	1
28	2	30	Affe	2	1	1	3	948	1
28	2	31	Haifisch	1	2	2	1	1012	1
28	2	32	Sportler	2	1	1	3	1180	1
28	2	33	Leiter	2	1	1	3	1594	1
28	2	34	Deckel	1	2	2	1	1145	1
28	2	35	Karte	2	2	2	2	1197	1
28	2	36	Paket	1	2	2	1	1100	1
28	2	37	Ente	1	2	2	1	885	1
28	2	38	Zeitung	1	2	2	1	988	1
28	2	39	Dreieck	2	1	1	3	934	1
28	2	40	Schnecke	1	2	2	1	1072	1
