VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
90	2	1	Nilpferd	1	2	2	1	1480	2
90	2	2	Ampel	1	2	2	1	1526	1
90	2	3	Tiger	2	1	1	3	1547	1
90	2	4	Flasche	1	2	2	1	1195	2
90	2	5	Biene	1	2	2	1	1473	1
90	2	6	Fahrer	2	1	1	3	1427	1
90	2	7	Jacke	2	1	1	3	1255	1
90	2	8	Faden	1	2	2	1	2090	1
90	2	9	Eimer	2	1	1	3	1210	1
90	2	10	Rabe	2	1	1	3	1124	1
90	2	11	Tasche	2	1	2	2	1373	2
90	2	12	Deckel	1	2	2	1	2914	1
90	2	13	Wecker	2	1	1	3	1621	1
90	2	14	Schnecke	1	99	99	99	99	0
90	2	15	Geige	1	2	2	1	1047	1
90	2	16	Haifisch	1	2	2	1	1655	1
90	2	17	Raupe	1	2	2	1	1376	1
90	2	18	Leiter	2	1	1	3	1782	1
90	2	19	Nudel	2	1	1	3	1259	1
90	2	20	Ente	1	2	2	1	2295	1
90	2	21	Tante	1	2	2	1	1310	1
90	2	22	Zeitung	1	2	2	1	1301	1
90	2	23	Sofa	1	2	2	1	946	2
90	2	24	Adler	1	2	2	1	1711	1
90	2	25	Pilot	2	1	1	3	3094	2
90	2	26	Hose 	1	2	2	1	1000	2
90	2	27	Dreieck	2	1	1	3	2297	1
90	2	28	Fliege	2	2	2	2	2932	2
90	2	29	Igel	2	1	1	3	1051	1
90	2	30	Seife	1	2	2	1	800	2
90	2	31	Kirche	2	1	1	3	1189	1
90	2	32	Zange	2	1	1	3	869	1
90	2	33	Maler	1	2	2	1	2344	1
90	2	34	Onkel	2	1	1	3	1064	1
90	2	35	Sportler	2	1	1	3	1622	2
90	2	36	Affe	2	1	1	3	1520	1
90	2	37	Karte	2	1	1	3	1061	1
90	2	38	Paket	1	2	2	1	1459	2
90	2	39	Katze	1	2	2	1	1154	1
90	2	40	Auto	2	1	1	3	1236	2
