VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
26	2	1	Schnecke	1	2	2	1	1872	2
26	2	2	Seife	1	1	1	4	3327	1
26	2	3	Nilpferd	1	1	1	4	3402	1
26	2	4	Ampel	1	1	1	4	1600	1
26	2	5	Katze	1	1	1	4	1403	1
26	2	6	Fliege	2	1	1	3	1720	1
26	2	7	Maler	1	1	1	4	1507	1
26	2	8	Geige	1	2	2	1	1607	1
26	2	9	Karte	2	1	1	3	1483	1
26	2	10	Pilot	2	1	1	3	1033	2
26	2	11	Tasche	2	1	1	3	850	9
26	2	12	Faden	1	2	2	1	1859	1
26	2	13	Biene	1	2	2	1	2258	1
26	2	14	Hose 	1	2	2	1	1377	1
26	2	15	Sportler	2	1	1	3	2739	1
26	2	16	Eimer	2	1	1	3	822	2
26	2	17	Igel	2	1	1	3	651	1
26	2	18	Zeitung	1	1	1	4	1880	1
26	2	19	Jacke	2	1	1	3	2027	1
26	2	20	Nudel	2	1	1	3	1319	2
26	2	21	Tante	1	1	1	4	1252	1
26	2	22	Wecker	2	1	1	3	3142	1
26	2	23	Leiter	2	1	1	3	1760	2
26	2	24	Tiger	2	1	1	3	930	3
26	2	25	Ente	1	2	2	1	829	2
26	2	26	Zange	2	1	1	3	2162	1
26	2	27	Dreieck	2	1	1	3	1307	1
26	2	28	Flasche	1	2	2	1	2530	1
26	2	29	Onkel	2	1	1	3	1818	1
26	2	30	Deckel	1	2	2	1	4136	1
26	2	31	Auto	2	1	1	3	2055	1
26	2	32	Affe	2	1	1	3	1285	1
26	2	33	Haifisch	1	2	2	1	2334	1
26	2	34	Raupe	1	2	2	1	1660	1
26	2	35	Fahrer	2	1	1	3	1179	1
26	2	36	Rabe	2	1	1	3	1133	1
26	2	37	Adler	1	2	2	1	1856	1
26	2	38	Paket	1	2	2	1	1341	1
26	2	39	Kirche	2	1	1	3	1426	1
26	2	40	Sofa	1	1	1	4	3377	1
