VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
13	2	1	Paket	1	2	2	1	1646	2
13	2	2	Haifisch	1	2	2	1	1953	1
13	2	3	Sofa	1	2	2	1	971	1
13	2	4	Deckel	1	2	2	1	1119	2
13	2	5	Geige	1	2	2	1	1099	9
13	2	6	Auto	2	1	1	3	740	7
13	2	7	Biene	1	2	2	1	1583	9
13	2	8	Wecker	2	1	1	3	1307	13
13	2	9	Kirche	2	1	1	3	1051	14
13	2	10	Schnecke	1	2	2	1	1503	3
13	2	11	Tante	1	2	2	1	3585	1
13	2	12	Rabe	2	1	1	3	1052	6
13	2	13	Affe	2	1	1	3	988	9
13	2	14	Zange	2	1	1	3	1904	2
13	2	15	Tiger	2	1	1	3	1144	1
13	2	16	Leiter	2	1	1	3	1264	1
13	2	17	Sportler	2	1	1	3	1755	1
13	2	18	Dreieck	2	1	1	3	892	1
13	2	19	Nudel	2	1	2	2	3304	5
13	2	20	Adler	1	2	2	1	1327	1
13	2	21	Hose 	1	2	2	1	3161	1
13	2	22	Raupe	1	2	2	1	4448	2
13	2	23	Seife	1	1	1	4	3252	2
13	2	24	Nilpferd	1	2	2	1	4506	1
13	2	25	Pilot	2	1	1	3	1588	1
13	2	26	Karte	2	1	1	3	1323	1
13	2	27	Fahrer	2	1	1	3	2824	1
13	2	28	Ampel	1	1	1	4	4669	1
13	2	29	Onkel	2	1	1	3	1244	1
13	2	30	Flasche	1	2	2	1	2127	1
13	2	31	Zeitung	1	2	2	1	2844	1
13	2	32	Tasche	2	1	1	3	2092	1
13	2	33	Maler	1	2	2	1	1423	1
13	2	34	Eimer	2	1	1	3	1312	1
13	2	35	Jacke	2	1	1	3	2583	2
13	2	36	Fliege	2	1	1	3	1932	1
13	2	37	Ente	1	1	1	4	1635	1
13	2	38	Katze	1	1	1	4	1531	1
13	2	39	Igel	2	1	1	3	1967	1
13	2	40	Faden	1	2	2	1	1996	1
