VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
17	2	1	Biene	1	2	2	1	2353	2
17	2	2	Sportler	2	1	1	3	952	3
17	2	3	Wecker	2	2	2	2	1631	2
17	2	4	Kirche	2	1	1	3	864	1
17	2	5	Fahrer	2	1	1	3	1082	1
17	2	6	Tiger	2	2	2	2	1528	1
17	2	7	Seife	1	2	2	1	2862	1
17	2	8	Tante	1	2	2	1	795	1
17	2	9	Onkel	2	2	2	2	995	1
17	2	10	Deckel	1	1	1	4	2389	1
17	2	11	Nudel	2	1	1	3	1050	1
17	2	12	Faden	1	2	2	1	1001	2
17	2	13	Haifisch	1	2	2	1	758	1
17	2	14	Nilpferd	1	2	2	1	682	1
17	2	15	Zeitung	1	2	2	1	979	1
17	2	16	Schnecke	1	2	2	1	767	1
17	2	17	Rabe	2	1	1	3	826	1
17	2	18	Karte	2	1	1	3	839	1
17	2	19	Maler	1	2	2	1	1460	1
17	2	20	Pilot	2	1	1	3	1522	1
17	2	21	Auto	2	1	1	3	1738	1
17	2	22	Jacke	2	1	1	3	868	1
17	2	23	Ampel	1	2	2	1	1352	1
17	2	24	Tasche	2	1	1	3	1587	1
17	2	25	Dreieck	2	1	1	3	834	1
17	2	26	Igel	2	1	1	3	742	1
17	2	27	Katze	1	2	2	1	1172	1
17	2	28	Geige	1	2	2	1	1598	2
17	2	29	Raupe	1	2	2	1	1303	1
17	2	30	Sofa	1	2	2	1	1868	1
17	2	31	Flasche	1	1	1	4	1226	2
17	2	32	Ente	1	2	2	1	1194	1
17	2	33	Paket	1	1	1	4	1218	1
17	2	34	Affe	2	1	1	3	760	2
17	2	35	Fliege	2	1	1	3	1715	1
17	2	36	Zange	2	1	1	3	673	1
17	2	37	Hose 	1	1	1	4	1886	1
17	2	38	Leiter	2	1	2	2	1372	2
17	2	39	Eimer	2	1	1	3	3594	1
17	2	40	Adler	1	1	1	4	1103	1
