VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
88	1	1	Leiter	2	2	2	3	3799	1
88	1	2	Geige	1	1	1	1	1218	1
88	1	3	Katze	1	1	1	1	1727	1
88	1	4	Jacke	2	2	2	3	1301	1
88	1	5	Ampel	1	1	1	1	1125	2
88	1	6	Nudel	2	2	2	3	1183	1
88	1	7	Seife	1	1	1	1	1416	1
88	1	8	Adler	1	1	1	1	1475	1
88	1	9	Rabe	2	2	2	3	1238	1
88	1	10	Ente	1	1	1	1	1311	1
88	1	11	Tiger	2	2	2	3	1336	1
88	1	12	Onkel	2	2	2	3	1838	1
88	1	13	Tante	1	1	1	1	1555	1
88	1	14	Pilot	2	2	2	3	1278	1
88	1	15	Wecker	2	2	2	3	1628	1
88	1	16	Tasche	2	2	2	3	1554	1
88	1	17	Auto	2	2	2	3	1148	1
88	1	18	Maler	1	1	1	1	1199	1
88	1	19	Raupe	1	1	1	1	1615	1
88	1	20	Sportler	2	2	2	3	1279	1
88	1	21	Eimer	2	2	2	3	1271	1
88	1	22	Kirche	2	2	2	3	3482	1
88	1	23	Dreieck	2	2	2	3	1186	1
88	1	24	Paket	1	1	1	1	1410	1
88	1	25	Haifisch	1	1	1	1	1570	1
88	1	26	Hose 	1	1	1	1	1428	1
88	1	27	Igel	2	2	2	3	2244	1
88	1	28	Zeitung	1	1	1	1	1345	1
88	1	29	Sofa	1	1	1	1	1636	1
88	1	30	Faden	1	1	1	1	1250	1
88	1	31	Fahrer	2	2	2	3	1416	1
88	1	32	Deckel	1	1	1	1	1796	1
88	1	33	Affe	2	2	2	3	1137	1
88	1	34	Flasche	1	1	1	1	1346	1
88	1	35	Karte	2	2	2	3	1571	1
88	1	36	Nilpferd	1	1	1	1	1336	1
88	1	37	Fliege	2	2	2	3	1203	1
88	1	38	Biene	1	1	1	1	1295	1
88	1	39	Schnecke	1	1	1	1	1406	1
88	1	40	Zange	2	2	2	3	1659	1
