VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
71	2	1	Ampel	1	2	2	1	2457	1
71	2	2	Ente	1	2	2	1	4844	1
71	2	3	Dreieck	2	1	1	3	1751	1
71	2	4	Rabe	2	1	1	3	1992	1
71	2	5	Biene	1	2	2	1	1892	1
71	2	6	Fahrer	2	1	1	3	1846	1
71	2	7	Zange	2	1	1	3	1640	1
71	2	8	Tasche	2	2	2	2	3010	1
71	2	9	Affe	2	1	1	3	1922	1
71	2	10	Tiger	2	1	1	3	1468	1
71	2	11	Schnecke	1	99	99	99	99	0
71	2	12	Wecker	2	1	1	3	2847	1
71	2	13	Pilot	2	1	1	3	1255	1
71	2	14	Igel	2	1	1	3	1530	1
71	2	15	Seife	1	99	99	99	99	0
71	2	16	Maler	1	2	2	1	2153	1
71	2	17	Hose 	1	1	1	4	2822	1
71	2	18	Fliege	2	2	2	2	2136	1
71	2	19	Deckel	1	2	2	1	1715	1
71	2	20	Katze	1	1	1	4	2994	1
71	2	21	Nudel	2	1	1	3	1323	1
71	2	22	Sofa	1	2	2	1	1957	1
71	2	23	Jacke	2	1	1	3	1964	1
71	2	24	Kirche	2	1	1	3	1596	1
71	2	25	Auto	2	1	1	3	1073	1
71	2	26	Nilpferd	1	2	2	1	1514	1
71	2	27	Eimer	2	1	1	3	1429	1
71	2	28	Haifisch	1	2	2	1	2268	1
71	2	29	Paket	1	2	2	1	2016	1
71	2	30	Adler	1	2	2	1	2338	1
71	2	31	Leiter	2	1	1	3	1422	1
71	2	32	Flasche	1	2	2	1	3491	1
71	2	33	Faden	1	2	2	1	1751	1
71	2	34	Raupe	1	2	2	1	1900	1
71	2	35	Sportler	2	1	1	3	1393	1
71	2	36	Onkel	2	1	1	3	1961	1
71	2	37	Geige	1	2	2	1	1876	1
71	2	38	Tante	1	2	2	1	3077	1
71	2	39	Karte	2	1	1	3	2514	1
71	2	40	Zeitung	1	2	2	1	2530	1
