VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
18	2	1	Sofa	1	1	1	4	2707	2
18	2	2	Biene	1	1	1	4	1447	1
18	2	3	Eimer	2	1	1	3	1982	1
18	2	4	Paket	1	1	1	4	1483	1
18	2	5	Maler	1	2	2	1	1626	1
18	2	6	Tasche	2	1	1	3	2042	1
18	2	7	Dreieck	2	1	1	3	1157	2
18	2	8	Sportler	2	1	1	3	1754	1
18	2	9	Kirche	2	1	1	3	2208	1
18	2	10	Raupe	1	1	1	4	2554	1
18	2	11	Tiger	2	1	1	3	823	2
18	2	12	Tante	1	2	2	1	1289	1
18	2	13	Fahrer	2	1	1	3	1441	1
18	2	14	Igel	2	1	1	3	878	1
18	2	15	Katze	1	1	1	4	799	1
18	2	16	Pilot	2	1	1	3	746	1
18	2	17	Leiter	2	1	1	3	4247	1
18	2	18	Nilpferd	1	1	1	4	2432	1
18	2	19	Affe	2	1	1	3	1313	1
18	2	20	Ampel	1	1	1	4	1481	1
18	2	21	Schnecke	1	2	2	1	1488	1
18	2	22	Auto	2	1	1	3	1821	1
18	2	23	Adler	1	1	1	4	2666	1
18	2	24	Deckel	1	2	2	1	1589	1
18	2	25	Onkel	2	2	2	2	2763	1
18	2	26	Seife	1	1	1	4	1205	1
18	2	27	Wecker	2	2	1	3	1441	2
18	2	28	Hose 	1	2	2	1	1187	1
18	2	29	Rabe	2	2	2	2	2173	1
18	2	30	Geige	1	2	2	1	2615	1
18	2	31	Fliege	2	1	1	3	1872	5
18	2	32	Karte	2	2	1	3	4373	2
18	2	33	Nudel	2	1	1	3	1430	1
18	2	34	Faden	1	2	2	1	1090	3
18	2	35	Ente	1	2	2	1	1311	2
18	2	36	Haifisch	1	2	2	1	1782	1
18	2	37	Zeitung	1	2	2	1	962	1
18	2	38	Flasche	1	1	1	4	2073	1
18	2	39	Zange	2	1	1	3	831	1
18	2	40	Jacke	2	2	2	2	963	1
