VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
35	1	1	Eimer	2	2	2	3	1463	1
35	1	2	Hose 	1	1	1	1	1142	1
35	1	3	Adler	1	1	1	1	1748	1
35	1	4	Flasche	1	1	1	1	1043	1
35	1	5	Tasche	2	2	2	3	1419	1
35	1	6	Fliege	2	2	2	3	1077	1
35	1	7	Katze	1	1	1	1	996	1
35	1	8	Rabe	2	2	2	3	1095	1
35	1	9	Tante	1	1	1	1	1176	1
35	1	10	Seife	1	1	1	1	1677	1
35	1	11	Tiger	2	2	2	3	922	1
35	1	12	Deckel	1	1	1	1	1027	1
35	1	13	Jacke	2	2	2	3	1016	1
35	1	14	Onkel	2	2	2	3	1085	1
35	1	15	Kirche	2	2	2	3	1079	1
35	1	16	Biene	1	1	1	1	969	1
35	1	17	Nilpferd	1	1	1	1	972	1
35	1	18	Igel	2	2	2	3	1019	1
35	1	19	Zange	2	2	2	3	1042	1
35	1	20	Schnecke	1	1	1	1	895	1
35	1	21	Karte	2	2	2	3	1088	1
35	1	22	Fahrer	2	2	2	3	1042	1
35	1	23	Pilot	2	2	2	3	1064	1
35	1	24	Geige	1	1	1	1	979	1
35	1	25	Ente	1	1	1	1	975	1
35	1	26	Zeitung	1	1	1	1	1046	1
35	1	27	Auto	2	2	2	3	825	1
35	1	28	Dreieck	2	2	2	3	842	1
35	1	29	Ampel	1	1	1	1	771	1
35	1	30	Paket	1	1	1	1	961	1
35	1	31	Affe	2	2	2	3	903	1
35	1	32	Faden	1	1	1	1	930	1
35	1	33	Haifisch	1	1	1	1	1086	1
35	1	34	Maler	1	1	1	1	1066	1
35	1	35	Sportler	2	2	2	3	1319	1
35	1	36	Nudel	2	2	2	3	832	1
35	1	37	Leiter	2	2	2	3	1252	1
35	1	38	Raupe	1	1	1	1	869	1
35	1	39	Wecker	2	2	2	3	1184	1
35	1	40	Sofa	1	1	1	1	1146	1
