VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
15	1	1	Haifisch	1	1	1	1	1433	2
15	1	2	Nudel	2	2	2	3	942	1
15	1	3	Adler	1	1	1	1	1263	1
15	1	4	Onkel	2	2	2	3	853	1
15	1	5	Leiter	2	2	2	3	1226	1
15	1	6	Nilpferd	1	1	1	1	1129	1
15	1	7	Schnecke	1	1	1	1	946	1
15	1	8	Karte	2	2	2	3	717	1
15	1	9	Jacke	2	1	1	2	918	1
15	1	10	Sportler	2	2	2	3	793	1
15	1	11	Deckel	1	1	1	1	861	1
15	1	12	Hose 	1	2	2	4	1195	1
15	1	13	Seife	1	1	1	1	850	1
15	1	14	Kirche	2	2	2	3	777	1
15	1	15	Biene	1	1	1	1	929	1
15	1	16	Auto	2	2	2	3	1823	1
15	1	17	Ente	1	1	1	1	1495	1
15	1	18	Tasche	2	1	1	2	1735	1
15	1	19	Pilot	2	1	1	2	999	1
15	1	20	Fahrer	2	2	1	2	1834	2
15	1	21	Tante	1	1	1	1	1091	1
15	1	22	Eimer	2	2	2	3	1271	1
15	1	23	Rabe	2	2	2	3	1684	1
15	1	24	Katze	1	1	1	1	922	1
15	1	25	Igel	2	2	2	3	1108	1
15	1	26	Faden	1	1	1	1	862	1
15	1	27	Sofa	1	1	1	1	809	1
15	1	28	Zeitung	1	1	1	1	1438	1
15	1	29	Geige	1	1	1	1	848	1
15	1	30	Maler	1	1	1	1	1075	1
15	1	31	Paket	1	1	1	1	991	1
15	1	32	Tiger	2	2	2	3	876	2
15	1	33	Wecker	2	2	2	3	1068	1
15	1	34	Zange	2	1	1	2	891	1
15	1	35	Fliege	2	1	1	2	879	1
15	1	36	Ampel	1	2	2	4	1336	1
15	1	37	Raupe	1	1	1	1	857	1
15	1	38	Flasche	1	1	1	1	1097	1
15	1	39	Dreieck	2	2	2	3	1095	1
15	1	40	Affe	2	2	2	3	893	1
