VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
72	1	1	Fliege	2	2	2	3	2453	1
72	1	2	Zange	2	2	2	3	950	1
72	1	3	Geige	1	1	1	1	1434	1
72	1	4	Dreieck	2	2	2	3	896	1
72	1	5	Kirche	2	2	2	3	1804	1
72	1	6	Deckel	1	1	1	1	3658	1
72	1	7	Igel	2	2	2	3	681	1
72	1	8	Haifisch	1	1	1	1	1843	1
72	1	9	Pilot	2	2	2	3	1072	1
72	1	10	Zeitung	1	1	1	1	1879	4
72	1	11	Schnecke	1	1	1	1	1479	1
72	1	12	Eimer	2	2	2	3	724	1
72	1	13	Paket	1	1	1	1	4897	1
72	1	14	Fahrer	2	2	2	3	784	2
72	1	15	Tasche	2	2	2	3	1143	1
72	1	16	Maler	1	1	1	1	966	1
72	1	17	Flasche	1	1	1	1	1593	1
72	1	18	Faden	1	1	1	1	1147	1
72	1	19	Sportler	2	2	2	3	830	5
72	1	20	Onkel	2	2	2	3	803	1
72	1	21	Rabe	2	1	1	2	1423	3
72	1	22	Nilpferd	1	1	1	1	1349	1
72	1	23	Affe	2	2	2	3	894	1
72	1	24	Ente	1	1	1	1	857	1
72	1	25	Tiger	2	2	2	3	1126	4
72	1	26	Biene	1	1	2	4	1180	2
72	1	27	Tante	1	1	1	1	1567	1
72	1	28	Hose 	1	1	1	1	1588	1
72	1	29	Nudel	2	2	2	3	1486	1
72	1	30	Jacke	2	2	2	3	1192	9
72	1	31	Adler	1	1	1	1	1267	2
72	1	32	Leiter	2	2	1	2	1956	2
72	1	33	Auto	2	2	2	3	1469	1
72	1	34	Ampel	1	1	1	1	1019	5
72	1	35	Seife	1	1	1	1	1980	1
72	1	36	Sofa	1	1	1	1	1547	3
72	1	37	Wecker	2	2	2	3	48	7
72	1	38	Karte	2	2	2	3	1345	1
72	1	39	Raupe	1	1	1	1	1288	1
72	1	40	Katze	1	1	1	1	1289	1
