VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
55	2	1	Tante	1	2	2	1	2498	1
55	2	2	Sportler	2	1	2	2	1662	2
55	2	3	Rabe	2	2	2	2	1625	1
55	2	4	Wecker	2	2	2	2	4084	1
55	2	5	Karte	2	1	1	3	1961	1
55	2	6	Biene	1	2	2	1	2175	1
55	2	7	Flasche	1	2	2	1	2614	1
55	2	8	Tiger	2	1	1	3	2160	1
55	2	9	Nilpferd	1	2	2	1	2118	1
55	2	10	Sofa	1	1	1	4	1916	1
55	2	11	Maler	1	2	2	1	2391	1
55	2	12	Fliege	2	2	2	2	4005	1
55	2	13	Jacke	2	1	1	3	2728	1
55	2	14	Faden	1	2	2	1	2192	1
55	2	15	Haifisch	1	2	2	1	4015	1
55	2	16	Tasche	2	2	2	2	2409	1
55	2	17	Zeitung	1	2	2	1	1037	1
55	2	18	Katze	1	2	2	1	1308	1
55	2	19	Onkel	2	1	1	3	1992	1
55	2	20	Schnecke	1	2	2	1	1849	1
55	2	21	Adler	1	2	2	1	1798	1
55	2	22	Ampel	1	2	2	1	1760	1
55	2	23	Pilot	2	2	2	2	2315	1
55	2	24	Hose 	1	2	2	1	1273	1
55	2	25	Affe	2	1	1	3	1890	1
55	2	26	Dreieck	2	1	1	3	2029	1
55	2	27	Deckel	1	2	2	1	1803	1
55	2	28	Paket	1	2	2	1	1511	1
55	2	29	Ente	1	2	2	1	1495	1
55	2	30	Raupe	1	2	2	1	1188	1
55	2	31	Geige	1	2	2	1	1425	1
55	2	32	Fahrer	2	1	1	3	1634	1
55	2	33	Nudel	2	2	2	2	1265	1
55	2	34	Eimer	2	2	2	2	1738	1
55	2	35	Igel	2	1	1	3	1779	1
55	2	36	Kirche	2	1	1	3	1734	1
55	2	37	Auto	2	2	2	2	1911	1
55	2	38	Leiter	2	2	2	2	1765	1
55	2	39	Zange	2	2	2	2	1728	1
55	2	40	Seife	1	2	2	1	2248	1
