VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
31	2	1	Leiter	2	1	1	3	858	1
31	2	2	Nilpferd	1	2	2	1	1049	1
31	2	3	Adler	1	2	2	1	1445	1
31	2	4	Auto	2	1	1	3	1594	1
31	2	5	Maler	1	2	2	1	1298	1
31	2	6	Sportler	2	1	1	3	895	1
31	2	7	Pilot	2	1	1	3	1317	1
31	2	8	Faden	1	2	2	1	1335	1
31	2	9	Ampel	1	2	2	1	1307	1
31	2	10	Biene	1	2	2	1	1047	1
31	2	11	Nudel	2	1	1	3	1236	1
31	2	12	Dreieck	2	1	1	3	1143	1
31	2	13	Flasche	1	2	2	1	1268	1
31	2	14	Kirche	2	1	2	2	942	4
31	2	15	Geige	1	2	2	1	2064	1
31	2	16	Affe	2	1	1	3	1591	1
31	2	17	Onkel	2	1	1	3	1071	1
31	2	18	Tante	1	2	1	4	2045	2
31	2	19	Tasche	2	2	2	2	1421	1
31	2	20	Deckel	1	2	2	1	1878	1
31	2	21	Fahrer	2	1	1	3	2668	1
31	2	22	Jacke	2	1	1	3	1031	1
31	2	23	Sofa	1	2	2	1	1207	1
31	2	24	Schnecke	1	2	2	1	1151	1
31	2	25	Eimer	2	1	1	3	1011	1
31	2	26	Hose 	1	2	2	1	1536	1
31	2	27	Zange	2	1	1	3	2612	3
31	2	28	Karte	2	1	1	3	1447	1
31	2	29	Wecker	2	2	1	3	1130	2
31	2	30	Katze	1	1	2	1	2455	2
31	2	31	Tiger	2	2	1	3	1571	2
31	2	32	Rabe	2	1	1	3	3669	1
31	2	33	Igel	2	1	1	3	1484	1
31	2	34	Ente	1	2	2	1	1654	1
31	2	35	Zeitung	1	2	2	1	2316	1
31	2	36	Haifisch	1	2	2	1	3048	1
31	2	37	Seife	1	2	2	1	1593	1
31	2	38	Fliege	2	1	1	3	933	1
31	2	39	Paket	1	2	2	1	1167	1
31	2	40	Raupe	1	2	2	1	1188	3
