VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
5	1	1	Sofa	1	1	1	1	764	3
5	1	2	Rabe	2	2	2	3	1024	1
5	1	3	Onkel	2	2	2	3	1160	1
5	1	4	Auto	2	2	2	3	1234	1
5	1	5	Dreieck	2	2	2	3	985	1
5	1	6	Wecker	2	1	1	2	771	1
5	1	7	Seife	1	1	1	1	1022	1
5	1	8	Katze	1	1	1	1	783	1
5	1	9	Pilot	2	2	2	3	643	1
5	1	10	Jacke	2	2	2	3	1363	1
5	1	11	Nilpferd	1	2	2	4	1048	3
5	1	12	Zange	2	2	2	3	988	1
5	1	13	Ente	1	1	1	1	971	3
5	1	14	Raupe	1	1	1	1	885	1
5	1	15	Adler	1	1	1	1	760	1
5	1	16	Haifisch	1	1	1	1	1135	1
5	1	17	Leiter	2	2	2	3	700	1
5	1	18	Igel	2	2	2	3	1143	1
5	1	19	Nudel	2	2	2	3	1050	1
5	1	20	Kirche	2	2	2	3	1078	1
5	1	21	Biene	1	1	1	1	1879	1
5	1	22	Fahrer	2	2	2	3	1546	1
5	1	23	Paket	1	1	1	1	801	1
5	1	24	Geige	1	1	1	1	1001	1
5	1	25	Zeitung	1	1	1	1	880	1
5	1	26	Schnecke	1	1	1	1	1514	1
5	1	27	Faden	1	1	1	1	919	1
5	1	28	Hose 	1	1	1	1	1165	1
5	1	29	Karte	2	1	1	2	910	1
5	1	30	Tante	1	1	1	1	1593	1
5	1	31	Tasche	2	1	1	2	1195	4
5	1	32	Eimer	2	1	1	2	2247	1
5	1	33	Ampel	1	1	2	4	2024	2
5	1	34	Sportler	2	2	2	3	920	1
5	1	35	Affe	2	2	2	3	1369	1
5	1	36	Deckel	1	1	1	1	924	1
5	1	37	Flasche	1	1	1	1	1746	1
5	1	38	Tiger	2	2	2	3	1102	1
5	1	39	Fliege	2	1	1	2	1338	1
5	1	40	Maler	1	1	1	1	1360	1
