VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
30	1	1	Raupe	1	1	1	1	3852	1
30	1	2	Tiger	2	1	1	2	1125	1
30	1	3	Faden	1	1	1	1	2365	1
30	1	4	Affe	2	2	2	3	2231	1
30	1	5	Kirche	2	2	2	3	2051	1
30	1	6	Maler	1	1	1	1	1228	1
30	1	7	Paket	1	1	1	1	1762	1
30	1	8	Ente	1	2	2	4	2788	1
30	1	9	Eimer	2	2	2	3	1455	1
30	1	10	Fliege	2	2	2	3	1040	1
30	1	11	Onkel	2	1	1	2	2106	1
30	1	12	Hose 	1	1	2	4	1168	2
30	1	13	Deckel	1	1	1	1	2071	1
30	1	14	Adler	1	1	1	1	2822	1
30	1	15	Wecker	2	2	2	3	1566	1
30	1	16	Nilpferd	1	1	1	1	1231	1
30	1	17	Ampel	1	99	99	99	99	0
30	1	18	Schnecke	1	1	1	1	2883	1
30	1	19	Dreieck	2	2	2	3	1962	1
30	1	20	Seife	1	1	1	1	2098	1
30	1	21	Jacke	2	2	2	3	1733	1
30	1	22	Flasche	1	1	1	1	1409	1
30	1	23	Zange	2	2	2	3	1328	1
30	1	24	Nudel	2	2	2	3	3783	1
30	1	25	Leiter	2	2	2	3	1409	1
30	1	26	Auto	2	2	2	3	1803	1
30	1	27	Karte	2	2	2	3	1462	2
30	1	28	Biene	1	1	1	1	1598	2
30	1	29	Sportler	2	2	2	3	1382	1
30	1	30	Zeitung	1	1	1	1	1009	1
30	1	31	Rabe	2	2	2	3	3609	1
30	1	32	Katze	1	1	1	1	1248	1
30	1	33	Sofa	1	1	1	1	1129	1
30	1	34	Geige	1	1	1	1	1784	1
30	1	35	Fahrer	2	2	2	3	1210	1
30	1	36	Tasche	2	2	2	3	1204	1
30	1	37	Haifisch	1	1	1	1	1765	1
30	1	38	Igel	2	2	2	3	958	1
30	1	39	Tante	1	1	1	1	912	1
30	1	40	Pilot	2	2	2	3	943	1
