VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
14	1	1	Biene	1	1	1	1	1839	2
14	1	2	Hose 	1	2	2	4	1782	2
14	1	3	Igel	2	2	2	3	2647	1
14	1	4	Onkel	2	2	2	3	1274	1
14	1	5	Zange	2	2	2	3	1470	1
14	1	6	Tasche	2	1	1	2	1141	1
14	1	7	Ampel	1	2	2	4	1230	1
14	1	8	Pilot	2	2	2	3	879	1
14	1	9	Kirche	2	2	2	3	909	1
14	1	10	Faden	1	1	1	1	1030	1
14	1	11	Haifisch	1	1	1	1	1507	1
14	1	12	Sportler	2	2	2	3	1157	1
14	1	13	Jacke	2	2	2	3	1045	1
14	1	14	Tiger	2	2	2	3	830	1
14	1	15	Adler	1	1	1	1	1090	1
14	1	16	Fahrer	2	2	2	3	1252	1
14	1	17	Leiter	2	1	1	2	1052	1
14	1	18	Karte	2	1	1	2	1419	1
14	1	19	Nudel	2	2	2	3	809	2
14	1	20	Maler	1	1	1	1	3730	1
14	1	21	Dreieck	2	2	2	3	1547	3
14	1	22	Deckel	1	1	1	1	1011	1
14	1	23	Ente	1	1	1	1	725	4
14	1	24	Seife	1	1	1	1	972	2
14	1	25	Affe	2	2	2	3	1258	3
14	1	26	Fliege	2	2	2	3	872	1
14	1	27	Raupe	1	1	1	1	1262	1
14	1	28	Rabe	2	2	2	3	713	1
14	1	29	Katze	1	1	1	1	1302	1
14	1	30	Tante	1	1	1	1	1449	1
14	1	31	Flasche	1	1	1	1	1250	1
14	1	32	Auto	2	2	2	3	1669	1
14	1	33	Nilpferd	1	1	1	1	918	1
14	1	34	Paket	1	1	1	1	1581	1
14	1	35	Wecker	2	1	1	2	1470	1
14	1	36	Sofa	1	1	1	1	1645	1
14	1	37	Zeitung	1	1	1	1	1113	1
14	1	38	Geige	1	1	1	1	1469	1
14	1	39	Schnecke	1	1	1	1	1651	1
14	1	40	Eimer	2	2	2	3	3347	1
