VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
67	1	1	Rabe	2	1	1	2	1378	2
67	1	2	Deckel	1	1	1	1	1603	1
67	1	3	Fliege	2	2	2	3	1096	1
67	1	4	Nudel	2	2	2	3	2360	1
67	1	5	Haifisch	1	1	1	1	1140	1
67	1	6	Raupe	1	1	1	1	1001	1
67	1	7	Sportler	2	2	2	3	1325	1
67	1	8	Jacke	2	2	2	3	1729	1
67	1	9	Tante	1	1	1	1	961	1
67	1	10	Maler	1	1	2	4	1758	2
67	1	11	Tiger	2	2	2	3	1153	1
67	1	12	Eimer	2	2	2	3	1446	1
67	1	13	Onkel	2	1	2	3	1850	2
67	1	14	Affe	2	2	2	3	831	1
67	1	15	Sofa	1	1	1	1	1584	1
67	1	16	Igel	2	2	2	3	1550	1
67	1	17	Paket	1	1	1	1	1439	1
67	1	18	Zeitung	1	1	1	1	1070	1
67	1	19	Pilot	2	2	2	3	912	1
67	1	20	Kirche	2	2	2	3	2301	1
67	1	21	Adler	1	1	1	1	2468	1
67	1	22	Faden	1	1	1	1	2803	1
67	1	23	Zange	2	1	2	3	2886	2
67	1	24	Seife	1	1	1	1	1230	1
67	1	25	Biene	1	1	1	1	1974	1
67	1	26	Karte	2	2	2	3	1864	1
67	1	27	Ampel	1	1	1	1	1115	1
67	1	28	Leiter	2	2	2	3	1597	1
67	1	29	Schnecke	1	1	1	1	1187	1
67	1	30	Flasche	1	2	2	4	1856	1
67	1	31	Wecker	2	2	2	3	1149	5
67	1	32	Nilpferd	1	1	1	1	2469	1
67	1	33	Katze	1	1	1	1	2290	1
67	1	34	Geige	1	1	1	1	2079	1
67	1	35	Hose 	1	2	2	4	1422	11
67	1	36	Fahrer	2	2	2	3	1759	1
67	1	37	Tasche	2	1	1	2	1748	1
67	1	38	Ente	1	1	1	1	968	1
67	1	39	Dreieck	2	2	2	3	1205	1
67	1	40	Auto	2	2	2	3	1619	1
