VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
43	1	1	Geige	1	1	1	1	1470	1
43	1	2	Karte	2	2	2	3	991	1
43	1	3	Eimer	2	2	2	3	1162	1
43	1	4	Affe	2	2	2	3	1419	1
43	1	5	Wecker	2	2	2	3	1144	1
43	1	6	Adler	1	2	2	4	2707	1
43	1	7	Maler	1	1	1	1	1176	1
43	1	8	Fliege	2	2	2	3	1070	1
43	1	9	Nudel	2	2	2	3	932	1
43	1	10	Kirche	2	2	2	3	951	1
43	1	11	Paket	1	1	1	1	882	1
43	1	12	Haifisch	1	1	1	1	780	1
43	1	13	Tante	1	1	1	1	897	1
43	1	14	Ente	1	2	1	1	1070	3
43	1	15	Igel	2	2	2	3	853	1
43	1	16	Tasche	2	2	2	3	1439	1
43	1	17	Dreieck	2	2	2	3	758	1
43	1	18	Rabe	2	2	2	3	1114	1
43	1	19	Faden	1	1	1	1	832	1
43	1	20	Raupe	1	2	2	4	3743	1
43	1	21	Tiger	2	2	2	3	876	1
43	1	22	Sportler	2	2	2	3	726	1
43	1	23	Fahrer	2	2	2	3	991	1
43	1	24	Flasche	1	2	2	4	2338	1
43	1	25	Leiter	2	1	2	3	1015	3
43	1	26	Onkel	2	2	2	3	932	1
43	1	27	Jacke	2	2	2	3	670	1
43	1	28	Biene	1	1	1	1	789	1
43	1	29	Sofa	1	2	2	4	3665	1
43	1	30	Zeitung	1	1	1	1	755	1
43	1	31	Auto	2	2	2	3	772	1
43	1	32	Schnecke	1	1	1	1	1579	1
43	1	33	Deckel	1	1	2	4	3308	2
43	1	34	Nilpferd	1	1	1	1	928	1
43	1	35	Hose 	1	1	1	1	1087	1
43	1	36	Katze	1	1	1	1	1212	1
43	1	37	Zange	2	2	2	3	854	1
43	1	38	Seife	1	1	1	1	957	1
43	1	39	Ampel	1	1	2	4	1861	3
43	1	40	Pilot	2	2	2	3	827	1
