VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
80	1	1	Adler	1	1	1	1	3742	1
80	1	2	Paket	1	1	1	1	1379	1
80	1	3	Raupe	1	1	1	1	816	1
80	1	4	Seife	1	1	1	1	806	2
80	1	5	Zange	2	2	2	3	2180	1
80	1	6	Sofa	1	2	2	4	2483	1
80	1	7	Deckel	1	1	1	1	1882	1
80	1	8	Fahrer	2	2	2	3	1866	1
80	1	9	Tiger	2	2	2	3	1082	1
80	1	10	Auto	2	2	2	3	1112	1
80	1	11	Biene	1	1	1	1	3143	1
80	1	12	Fliege	2	2	2	3	1125	1
80	1	13	Faden	1	1	1	1	1741	1
80	1	14	Ente	1	2	2	4	1963	1
80	1	15	Maler	1	1	1	1	1386	1
80	1	16	Jacke	2	2	2	3	1228	1
80	1	17	Zeitung	1	1	1	1	1314	1
80	1	18	Pilot	2	2	2	3	1913	1
80	1	19	Kirche	2	2	2	3	873	1
80	1	20	Igel	2	2	2	3	798	2
80	1	21	Haifisch	1	1	1	1	993	1
80	1	22	Tasche	2	2	2	3	1111	1
80	1	23	Eimer	2	2	2	3	1003	1
80	1	24	Hose 	1	1	1	1	1046	1
80	1	25	Dreieck	2	2	2	3	2121	1
80	1	26	Wecker	2	2	2	3	824	1
80	1	27	Karte	2	1	1	2	2205	1
80	1	28	Ampel	1	2	2	4	1715	1
80	1	29	Nilpferd	1	1	1	1	1443	1
80	1	30	Nudel	2	2	2	3	2073	1
80	1	31	Onkel	2	2	2	3	1216	1
80	1	32	Schnecke	1	1	1	1	1168	1
80	1	33	Tante	1	2	2	4	1297	1
80	1	34	Leiter	2	2	2	3	917	1
80	1	35	Affe	2	2	2	3	1204	1
80	1	36	Flasche	1	2	2	4	1485	1
80	1	37	Katze	1	1	1	1	1397	1
80	1	38	Geige	1	1	1	1	1227	1
80	1	39	Rabe	2	2	2	3	1242	1
80	1	40	Sportler	2	2	2	3	2016	1
